,titles,subtitles,links
0,Judge clears the way for Postal Service work on Trump's mail-in voting order for now,A federal judge in Boston canceled a nationwide ruling that blocked U.S. Postal Service work on President Trump's order to limit mail-in voting for the midterm election. But a new block may come soon.,https://www.npr.org/2026/08/26/nx-s1-5945260/trump-mail-in-voting-ballots
1,"Will Trump's latest beef plan make your hamburger cheaper? Not much, experts say","The proposal comes weeks before the midterm elections, when food prices and the cost of living are expected to be major issues on voters' minds.",https://www.npr.org/2026/08/26/nx-s1-5944265/ground-beef-trump-tariffs
2,How Dolly Parton wrote the story of a changing America,"Parton, who died at 80 on Tuesday, had charm, depth, beauty, wit and radiant goodness. She was also a songwriter whose work told the story not just of country music but of the country itself.",https://www.npr.org/2026/08/26/nx-s1-5944468/dolly-parton-legacy-songwriting
3,"Meta, states agree to $17 billion settlement in child safety trial","August 26, 2026 • The social media giant also agreed to make sweeping changes to Instagram and Facebook.",https://www.npr.org/2026/08/26/nx-s1-5944781/meta-settlement-child-safety-lawsuit
4,At least 75 killed and hundreds missing after flash floods in Nepal and China,"August 26, 2026 • The disaster is linked to climate change, with experts noting the region's vulnerability to extreme weather.",https://www.npr.org/2026/08/26/g-s1-140211/nepal-china-floods
5,"Canada to hit U.S. with retaliatory tariffs. And, remembering music legend Dolly Parton","August 26, 2026 • Canada has announced it plans to hit the U.S. with countertariffs that mirror its actions ""dollar for dollar."" And, remembering the legacy of country star and icon Dolly Parton, who died at 80.",https://www.npr.org/2026/08/26/g-s1-140207/up-first-newsletter-canada-tariffs-visa-revocations-dolly-parton-nevada-voters
6,COMIC: Trying for a baby? These lifestyle habits may boost your fertility odds,"August 26, 2026 • This illustrated guide has evidence-backed advice on how to support fertility for both men and women, including which foods to eat and which activities to avoid.",https://www.npr.org/2026/08/26/nx-s1-5843276/lifestyle-habits-that-boost-fertility-pregnancy
7,"She got an electric bill for $1,373. She's not alone","August 26, 2026 • The price of electricity is soaring in the summer heat, when fans and air conditioners are working nonstop. In Tulsa, Okla., people are having their power cut when they can't pay their bills.",https://www.npr.org/2026/08/26/nx-s1-5943289/electric-bills-summer-heat-oklahoma-power
8,"Hollywood's summer box office is glowing, but the numbers come with startling caveats","August 26, 2026 • Theaters have had something for everyone this summer, and fans are paying top dollar for premium formats like IMAX. There are also fewer moviegoers, fewer movies and fewer screens than there were pre-COVID.",https://www.npr.org/2026/08/26/nx-s1-5923629/movie-summer-box-office
9,"Hospital nursery fire kills 14 newborns in Pakistan's capital, officials order immediate inquiry","August 26, 2026 • A fire erupted early Wednesday in a nursery for newborns at a major government hospital in Pakistan's capital, killing 14 babies, according to hospital officials and the government.",https://www.npr.org/2026/08/26/nx-s1-5944808/hospital-nursery-fire-kills-14-newborns-pakistan
10,Test your global economic knowledge with this quick Planet Money quiz!,"August 26, 2026 • Every country tells a different economic story. It's time to test your knowledge of the big ideas we've collected on our World Tour. Eight questions stand between you and your Summer School diploma.",https://www.npr.org/2026/08/26/g-s1-138847/planet-money-summer-school-quiz-2026
11,World Tour 8: The continent nobody owns & everyone benefits from,"August 26, 2026 • This episode is packed with your best economic ideas from around the world and a penguin interview. It all comes together in this final session of Summer School 2026.Pack your parka, we’re headed to Antarctica.First, we’ll travel back in time to the late 1970s when NPR was a scrappy young network, with a synth soundtrack, and tons of heart. Science reporter Ira Flatow took a trip to the South Pole that put NPR on the news industry map. We’ll hear an excerpt where he brings us along through what life is like on the ice, including a memorable interview with the wildlife.",https://www.npr.org/2026/08/26/nx-s1-5943610/summer-school-antarctica
12,The continent nobody owns & everyone benefits from (Summer School),"August 26, 2026 • This episode is packed with your best economic ideas from around the world and a penguin interview. It all comes together in this final session of Summer School 2026.Pack your parka, we’re headed to Antarctica.First, we’ll travel back in time to the late 1970s when NPR was a scrappy young network, with a synth soundtrack, and tons of heart. Science reporter Ira Flatow took a trip to the South Pole that put NPR on the news industry map. We’ll hear an excerpt where he brings us along through what life is like on the ice, including a memorable interview with the wildlife.",https://www.npr.org/2026/08/26/nx-s1-5943609/summer-school-antarctica
13,What Mark Cuban REALLY thinks of Medicare for All,"August 26, 2026 • Medicare for All could save the U.S. trillions… or maybe way less than that? In our second episode on Medicare for All, we look at the convoluted figures behind the hot political topic. We hear directly from billionaire and healthcare voice Mark Cuban on what works about Medicare for All, and why its actual cost is so complicated. ",https://www.npr.org/2026/08/26/nx-s1-5943276/what-mark-cuban-really-thinks-of-medicare-for-all
14,The influencer era is dead. What's next?,"August 26, 2026 • Would you go back to college?",https://www.npr.org/2026/08/26/nx-s1-5944532/the-influencer-era-is-dead-whats-next
15,How your metabolism could alter your mental health,"August 26, 2026 • In 2009, medical student Shebani Sethi watched a patient in a weight loss program make a remarkable recovery. The dietary intervention she underwent alleviated her schizophrenia symptoms, something the woman had tried – and failed – to treat with medication for years. That experience sent Shebani down a medical path that would lead her to treating mental health in a radically different way. Today host Emily Kwong talks to Shebani about the emerging field of metabolic psychiatry and how ketogenic metabolic therapy may treat schizophrenia, bipolar disorder and depression.",https://www.npr.org/2026/08/26/nx-s1-5807708/metabolism-mental-health-keto-schizophrenia-bipolar-depression
16,Target faces renewed backlash for Halloween costume with 'minstrel show features',"August 26, 2026 • Retailer Target pulled a children's Halloween costume from its shelves after widespread social media backlash, apologizing for selling a garment critics said evoked racist minstrel caricatures.",https://www.npr.org/2026/08/26/g-s1-140195/target-halloween-costume-backlash
17,More than 50 kidnapped as violent gang attack in Haiti leaves 47 dead,"August 26, 2026 • It is believed to be one of the largest mass kidnappings in Haiti in recent years, and one gang leader is threatening to kill the hostages if authorities kill any gang members as they try to secure the community nestled in the hills above Port-au-Prince.",https://www.npr.org/2026/08/26/nx-s1-5944787/50-kidnapped-haiti-gang-attack-47-dead
18,Instagram head Adam Mosseri testifies in defense of Meta in child safety trial,"August 25, 2026 • The social media giant is being sued by four states who allege it designed Facebook and Instagram to hook kids — and lied to the public about the risks.",https://www.npr.org/2026/08/25/nx-s1-5944266/adam-mosseri-instagram-meta-child-safety-trial
19,Sen. Darline Graham wins GOP nomination for U.S. Senate in South Carolina,"August 25, 2026 • In a major win for President Trump who went all in for the political newcomer, Sen. Darline Graham beat out longtime Congressman Ralph Norman in a special election primary runoff in South Carolina.",https://www.npr.org/2026/08/25/nx-s1-5943041/south-carolina-senate-runoff-graham-norman-trump-endorsement
20,Chinese workers fight back against AI; the meaning of milk in Rwanda,"August 25, 2026 • Just like in the United States and elsewhere, workers in China are worried about artificial intelligence taking away their jobs. So they are fighting back. This summer, acourt in the Chinese city of Guangzhou sided with a graphics designer who was replaced by AI, ruling his dismissal was unlawful. Similar court decisions have happened across several Chinese cities and are being hailed as victories for workers’ rights. But with China’s push to win the AI race, workers still have plenty to be anxious about. We go to China to learn more.",https://www.npr.org/2026/08/25/nx-s1-5944427/chinese-workers-fight-back-against-ai-the-meaning-of-milk-in-rwanda
21,"Dolly Parton, one of country music's most singular performers, has died at age 80","August 25, 2026 • The artist was a star performer in country music and went on to become one of the genre's most recognizable and universally adored ambassadors to broader popular culture.",https://www.npr.org/2026/08/25/nx-s1-3650175/dolly-parton-obituary
22,DHS acknowledges the noncitizen numbers it touted on voter rolls were inflated,"August 25, 2026 • The Trump administration claimed to have found 250,000 noncitizens on the voter rolls in four states. But the agency's communications with states since then indicate that data was preliminary.",https://www.npr.org/2026/08/25/nx-s1-5940807/noncitizen-voters-trump-nevada-call
23,Canada hits back at the U.S. with tariffs as the countries' trade fight escalates,"August 25, 2026 • The measures come after President Trump imposed 50% tariffs on many Canadian goods and threatened more after trade talks broke down on Friday.",https://www.npr.org/2026/08/25/nx-s1-5944240/canada-us-tariffs
