,titles,subtitles,links
0,WORLD BEATING,England set to PLAY at next World Cup as Uefa calls off Fifa boycott after getting assurances over sales plan,https://www.thesun.co.uk/sport/40178498/uefa-calls-off-fifa-boycott-world-cup-england/
1,COME GET MI,Chelsea in talks with Martinez over transfer after they are offered keeper,https://www.thesun.co.uk/sport/40179155/chelsea-consider-emiliano-martinez-transfer-aston-villa/
2,GREAL DEAL,Jack Grealish offered Sunderland loan transfer with Man City future in doubt,https://www.thesun.co.uk/sport/40181119/jack-grealish-man-city-sunderland-loan-transfer/
3,IN YOUR ED,Man Utd 'set to bid £43m for Chelsea target and Real Madrid exile Camavinga',https://www.thesun.co.uk/sport/40179585/man-utd-chelsea-transfer-eduardo-camavinga-real-madrid/
4,HAVE THEM AL,"Arsenal 'may offer Gyokeres, Jesus and cash for £128m Julian Alvarez transfer'",https://www.thesun.co.uk/sport/40177021/arsenal-julian-alvarez-transfer-gyokeres-jesus/
5,DOUBLE,Win a VW Campervan and a Mercedes GLC or £140k cash from just 71p with our code,https://www.thesun.co.uk/sport/38564587/win-car-competition-ukcc/
6,GETTING SHIRTY,Man Utd forced to change kit after breaking little-known Premier League rule in defeat to Hull,https://www.thesun.co.uk/sport/40176952/man-utd-kit-change-badge-premier-league/
7,DEALS ON WHEELS,"Transfer news LIVE: Sunderland 'submit' Grealish offer, Chelsea 'contact' Martinez, Liverpool's Sarr bid 'REJECTED'",https://www.thesun.co.uk/sport/40149903/transfer-news-live-chelsea-liverpool-grealish-updates/
8,ARSENAL NEWS,"Alvarez 'absent' from training, Scanlon has medical, Martinelli exit 'close'",https://www.thesun.co.uk/sport/40149902/arsenal-transfer-news-live-alvarez-barcola-martinelli-updates/
9,MAN UTD NEWS,"Carlos Baleba ANNOUNCED, Lewis-Skelly EXCLUSIVE, Red Devils suffer Balde BLOW",https://www.thesun.co.uk/sport/40149874/man-utd-transfer-news-live-baleba-lewis-skelly-hall-updates/
10,ENZ OF THE LINE,Man City set to bid for Enzo Fernandez as Chelsea line up Alex Scott,https://www.thesun.co.uk/sport/40178927/man-city-bid-enzo-fernandez-chelsea-line-alex-scott/
11,AL BE DAMNED,Julian Alvarez situation 'very tense' as Atletico issue devastated star a transfer ultimatum with Arsenal circling,https://www.thesun.co.uk/sport/40173368/julian-alvarez-atletico-madrid-transfer-arsenal-barcelona/
12,ANGE-R MANAGEMENT,Ronaldo fumes as Postecoglou subs him – but ex-Spurs boss vindicated,https://www.thesun.co.uk/sport/40174334/cristiano-ronaldo-fumes-ange-postecoglou-sub-al-nassr-comeback/
13,TOOLS DOWNED,'Next Jamie Vardy' goes on strike after non-league club reject historic bid,https://www.thesun.co.uk/sport/40180368/jamie-vardy-boreham-wood-djurgardens-transfer-abdul-abdulmalik/
14,BALDE LUCK,Man Utd suffer huge transfer blow in bid to sign Barcelona star Alejandro Balde,https://www.thesun.co.uk/sport/40175822/man-utd-alejandro-balde-transfer-blow-barcelona/
