,authors,quotes,links
0,Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,https://quotes.toscrape.com/author/Albert-Einstein
1,J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",https://quotes.toscrape.com/author/J-K-Rowling
2,Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,https://quotes.toscrape.com/author/Albert-Einstein
3,Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",https://quotes.toscrape.com/author/Jane-Austen
4,Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",https://quotes.toscrape.com/author/Marilyn-Monroe
5,Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,https://quotes.toscrape.com/author/Albert-Einstein
6,André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,https://quotes.toscrape.com/author/Andre-Gide
7,Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”",https://quotes.toscrape.com/author/Thomas-A-Edison
8,Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,https://quotes.toscrape.com/author/Eleanor-Roosevelt
9,Steve Martin,"“A day without sunshine is like, you know, night.”",https://quotes.toscrape.com/author/Steve-Martin
